X,Y,phi
-2.59208545,-4.900594414,9.16E-05
-2.654320988,-5,2.02E-21
-2.468628659,-4.900594414,9.20E-05
-2.530864198,-5,3.19E-20
-2.407407407,-5,0
-3.730165599,-3.094424856,6.59E-04
-3.634725218,-3.159205052,6.74E-04
-3.539284838,-3.223985248,6.85E-04
-3.631933335,-3.029534864,6.84E-04
-3.536492955,-3.09431506,6.98E-04
-3.533701072,-2.964644872,7.07E-04
-4.705190925,-2.222608132,2.50E-04
-4.803460617,-2.1607511,1.75E-04
-4.901730308,-2.098894069,9.15E-05
-5,-2.037037037,0
-4.803460617,-2.28420789,1.75E-04
